,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
73, BYU, WCC, 32, 19, 109.1, 98.5, .7642, 51.5, 49.5, 20.2, 18.5, 31.8, 24.1, 32.5, 37.8, 53.1, 48.8, 32.7, 33.7, 69.6, -4.1
74, Utah Valley, WAC, 28, 24, 106.2, 95.9, .7638, 50.9, 44.1, 19.1, 16.8, 28.9, 29.3, 36.4, 29.1, 52.2, 42.4, 32.3, 31.5, 69.8, 0.5
75, Santa Clara, WCC, 31, 23, 111.6, 100.8, .7633, 52.5, 50.8, 17.1, 16.5, 30.2, 24.5, 30.9, 25.8, 50.5, 48.6, 37.4, 36.2, 70, 0.6
76, Wisconsin, B10, 31, 17, 105.9, 95.8, .7597, 48.5, 50.3, 13.5, 18.6, 22.4, 25.4, 24.1, 28, 45.8, 51.3, 35, 32.3, 62.9, -0.6
77, Vanderbilt, SEC, 31, 18, 115.8, 104.8, .7592, 49.4, 49.1, 15.8, 14.9, 31.4, 30.6, 31.6, 31.3, 48.3, 50.4, 34, 31.3, 66.2, -0.4
78, Yale, Ivy, 25, 20, 109.5, 99.4, .7525, 53.2, 47.2, 16.4, 18.8, 28.4, 22.6, 30.6, 33.6, 53.6, 46, 35, 32.7, 66.1, -1.6
79, Virginia Tech, ACC, 33, 19, 114.1, 103.7, .7504, 54.2, 50.6, 14.8, 16.3, 26.1, 27.4, 26.4, 24.9, 54.1, 50.4, 36.2, 34.1, 66.6, -3.4
80, Kent St., MAC, 30, 26, 107.0, 97.4, .7480, 51.1, 47, 16.6, 22.8, 30.5, 30.2, 31.6, 38.8, 52.3, 47.2, 32.9, 31.1, 68, 0.5
81, Stanford, P12, 32, 14, 114.2, 104.0, .7474, 52.1, 50.9, 18.8, 18.4, 31.4, 26.5, 29.4, 28.6, 51.1, 49.6, 35.8, 35.1, 65.7, -6.1
82, Toledo, MAC, 31, 26, 120.5, 109.7, .7472, 56.8, 52.3, 13.8, 18.2, 30, 30.1, 34.5, 27.6, 54.5, 51.8, 40.7, 35.4, 69.6, -0.5
