,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
291, Tulsa, Amer, 29, 5, 99.6, 109.7, .2466, 47.9, 53.3, 19.2, 17.1, 25.1, 33.3, 26.6, 28, 48.7, 57.6, 31.1, 31.3, 68.1, -14.8
292, Bucknell, Pat, 31, 12, 99.1, 109.4, .2428, 51.3, 51.2, 20.2, 15.4, 25.4, 25, 26.9, 27.7, 51.1, 49.4, 34.5, 36.4, 66.7, -16
293, Georgia St., SB, 28, 10, 97.7, 108.0, .2420, 45.6, 50.7, 19.5, 17.5, 30.1, 29.5, 33.5, 35.4, 46.5, 48.6, 29, 36.5, 66.9, -15.4
294, Cal St. Bakersfield, BW, 31, 11, 95.3, 105.3, .2406, 44.6, 51.1, 19.8, 20.5, 27.2, 28.4, 29.4, 43.6, 43.7, 50.2, 31.5, 34.9, 63, -15.4
295, South Dakota, Sum, 29, 12, 102.8, 113.6, .2404, 50.1, 52.7, 17.3, 14.4, 24.9, 27.1, 28.1, 31.8, 45.5, 51.8, 37.9, 36.1, 66, -13.4
296, Texas Southern, SWAC, 30, 12, 96.5, 106.6, .2401, 46.5, 50, 20.2, 18.2, 28.3, 27.1, 33.6, 37.2, 48.1, 49, 28.3, 34.6, 69.5, -13.4
297, Charleston Southern, BSth, 29, 10, 105.0, 116.1, .2396, 50.3, 54.3, 18.1, 16.7, 32.2, 31, 27.4, 36.6, 49.7, 54.3, 34.1, 36.2, 65.6, -15.9
298, Western Illinois, Sum, 27, 16, 101.5, 112.3, .2377, 50.1, 53.4, 15.1, 16.4, 26.9, 26.7, 31.4, 27.4, 51.8, 54.6, 31.5, 33.9, 66.7, -9.8
299, Marist, MAAC, 30, 11, 97.3, 107.9, .2349, 48, 48.9, 17.7, 17.2, 25.2, 28.2, 27.1, 28.2, 47.3, 45.8, 32.6, 36.1, 65.5, -15.3
300, Boston University, Pat, 31, 15, 97.0, 107.5, .2344, 47, 50.5, 17.8, 18.3, 28.7, 24.6, 29, 36.5, 45.9, 50.3, 32.4, 33.8, 65.5, -12.3
301, Cal Poly, BW, 30, 8, 94.2, 104.5, .2335, 45.9, 50.4, 20.9, 18.8, 24.4, 25.1, 31, 42, 46.6, 49.1, 29.8, 35.2, 63.9, -17.3
302, Chicago St., ind, 27, 11, 102.3, 113.5, .2328, 48.8, 53.3, 21.3, 16.7, 33.5, 33.2, 31.9, 35.9, 48.4, 53.1, 32.9, 35.7, 64.8, -12.7
303, Binghamton, AE, 29, 13, 98.9, 109.9, .2288, 49.5, 50.5, 19.4, 15.1, 28.7, 27.3, 28.2, 35.4, 50, 50.8, 32.4, 33.2, 66, -13.1
304, High Point, BSth, 29, 14, 100.2, 111.5, .2266, 50.2, 50.7, 19.6, 16.3, 30.8, 32, 38.7, 35.3, 51.4, 52, 32.3, 32.5, 71.5, -12.7
305, Northeastern, CAA, 30, 10, 98.0, 109.1, .2262, 47.9, 50.1, 21.3, 14.5, 31.7, 26.9, 27.7, 31.7, 46.8, 49.2, 33.2, 34.9, 66.9, -14.3
306, Saint Peter's, MAAC, 30, 14, 97.2, 108.2, .2260, 44.4, 49.6, 19.9, 19.8, 36.3, 30.4, 28.2, 50.1, 44.4, 48.7, 29.6, 34.2, 62.9, -12.1
307, Idaho, BSky, 30, 10, 101.8, 113.6, .2218, 52, 54.3, 17.2, 16.1, 19.6, 27.8, 35.8, 31.6, 54.2, 52.6, 32, 38.7, 65.9, -17.4
308, Fairleigh Dickinson, NEC, 32, 19, 106.5, 118.8, .2215, 51.5, 55.8, 16.3, 21.4, 31.4, 28.9, 27.9, 34.8, 51.4, 56.1, 34.4, 36.9, 68.8, -12.1
309, Jackson St., SWAC, 32, 14, 98.3, 109.8, .2191, 47.6, 52.3, 22.1, 19.2, 32.6, 29, 32.8, 33.6, 47.2, 51.9, 32.2, 35.3, 68.2, -11.1
310, Elon, CAA, 30, 8, 98.7, 110.7, .2107, 47.8, 52.1, 18.4, 17.1, 24.9, 30.6, 27.5, 29, 50.5, 51.4, 29.2, 35.2, 66.1, -18.8
311, Alabama A&M, SWAC, 28, 14, 95.9, 107.6, .2090, 48.7, 49.8, 21.1, 21.5, 28.5, 33.8, 34.1, 41.3, 46.9, 48.7, 35, 34.3, 68.8, -13
312, Manhattan, MAAC, 29, 12, 97.1, 109.3, .2049, 49.2, 51.3, 19.8, 20.5, 26.6, 34.2, 31.5, 30.5, 49.1, 49.1, 32.9, 36.8, 66.9, -13.4
313, Texas A&M Commerce, Slnd, 32, 13, 100.8, 113.5, .2045, 52.4, 52.8, 18.9, 17.7, 26.5, 29.9, 28.3, 37.9, 56.2, 53.1, 31.9, 34.8, 65.5, -15.2
314, Eastern Michigan, MAC, 30, 8, 101.4, 114.2, .2031, 49.2, 55.6, 16.9, 17.1, 25.1, 32.8, 32.2, 35, 50.3, 58.7, 31.4, 34.1, 69.3, -16.8
315, Wagner, NEC, 26, 15, 93.7, 105.6, .2023, 44.9, 49.1, 19.1, 20.9, 34.4, 24.8, 25.2, 47, 44.7, 50.2, 30.2, 31.5, 62.2, -10.2
316, William & Mary, CAA, 31, 13, 100.1, 112.7, .2021, 49.4, 53.9, 18.8, 17, 27.4, 29.9, 29.2, 27.4, 46.3, 54.3, 36.3, 35.5, 65, -14.2
317, Morgan St., MEAC, 25, 14, 93.9, 105.9, .2002, 47, 50.6, 21.7, 23.8, 30.2, 37.6, 31.6, 42.7, 44.3, 52, 35.6, 32, 70.2, -9.8
318, Arkansas Pine Bluff, SWAC, 27, 10, 95.2, 107.4, .1997, 45.2, 51.4, 21.6, 21.4, 26.6, 29, 33.8, 43.2, 44, 51.1, 31.1, 34.5, 69.7, -15.2
319, Nebraska Omaha, Sum, 31, 9, 99.8, 112.7, .1967, 48.5, 53.2, 18.5, 15.8, 24.2, 28.9, 29.6, 33.4, 47.7, 52, 33.7, 36.5, 67.9, -15.6
320, Loyola MD, Pat, 31, 13, 99.5, 112.6, .1948, 51.3, 55.5, 20.4, 20.2, 26.6, 28.7, 28.2, 29.8, 50, 55.3, 35.6, 37.1, 65.9, -15.3
321, NJIT, AE, 29, 7, 98.3, 111.4, .1903, 48.3, 52.3, 16, 14.9, 23.4, 29.1, 28.2, 27.9, 46.1, 53.2, 35.2, 34, 66.3, -18.1
322, Little Rock, OVC, 29, 10, 101.8, 115.8, .1859, 49.2, 56.1, 18, 19.2, 29.3, 30.4, 31.9, 37, 49.4, 54.1, 32.5, 39.5, 70.9, -16.5
323, New Orleans, Slnd, 30, 12, 98.8, 112.4, .1849, 52.7, 54.1, 23.6, 20.2, 29.8, 32.7, 36.5, 39.9, 51.1, 54.1, 37.9, 36.2, 71.1, -15.5
324, North Carolina A&T, CAA, 29, 13, 97.8, 111.3, .1838, 47.4, 50.6, 17.5, 15.7, 24.6, 30.2, 30, 28.5, 46.2, 51, 32.9, 33.2, 70, -13.1
325, UMKC, Sum, 30, 11, 95.5, 108.7, .1836, 43.4, 50.1, 19.9, 17.3, 35.9, 29.4, 33.3, 39.4, 44.7, 48.9, 27.3, 34.6, 63.9, -15
326, McNeese St., Slnd, 33, 11, 99.6, 113.7, .1798, 49, 55, 21.6, 18.4, 33.3, 30.9, 29.2, 34.9, 49.2, 52.1, 32.4, 39.7, 66.2, -16.3
327, Cal St. Northridge, BW, 30, 7, 95.4, 109.1, .1767, 44.1, 50.4, 19.6, 18, 27.3, 30.5, 36.6, 39, 42.8, 49.6, 31.2, 34.6, 65.2, -18.8
328, Central Arkansas, ASun, 30, 9, 98.8, 113.0, .1756, 47.1, 54.7, 18.1, 16.7, 27.9, 30.5, 24.3, 28.9, 46.8, 54.8, 31.6, 36.3, 72.3, -15.6
329, Stonehill, NEC, 30, 14, 94.7, 108.4, .1754, 50.9, 50.2, 19.7, 19.8, 19.1, 31.4, 32.2, 27.3, 49.9, 49, 34.8, 34.6, 66.7, -12.5
330, Western Michigan, MAC, 28, 8, 102.1, 116.9, .1739, 48.8, 54.8, 19.1, 14.4, 33, 27.6, 27.8, 33.1, 49.3, 54.4, 32.1, 37, 65.6, -16.7
331, St. Francis PA, NEC, 29, 13, 101.0, 115.9, .1698, 51.9, 51.9, 18.3, 14.7, 25.3, 28.9, 32.8, 29.9, 50.4, 52.7, 36.4, 33.7, 68.4, -14.4
332, Incarnate Word, Slnd, 28, 12, 97.3, 111.8, .1679, 48.5, 54.4, 20, 20.5, 26.3, 33.2, 33.3, 32.7, 47.3, 53.9, 34.1, 36.8, 66.9, -15.2
333, Austin Peay, ASun, 28, 9, 96.4, 111.2, .1614, 46.3, 54.7, 17.4, 19.5, 26, 31.9, 26.1, 37, 46, 56.4, 31.2, 34.4, 64.8, -15.8
334, The Citadel, SC, 31, 10, 97.3, 112.7, .1568, 49.3, 52.4, 18.2, 16.9, 20.8, 31.7, 28.9, 33.9, 49.6, 53.5, 32.5, 33.9, 67.2, -16
335, Stony Brook, CAA, 31, 11, 95.7, 111.1, .1522, 47.5, 50.3, 19.6, 14, 21.9, 27.4, 29.4, 26.2, 48.1, 50, 31.1, 33.8, 63.9, -15.9
336, Sacred Heart, NEC, 32, 16, 96.1, 111.7, .1506, 48.4, 50.2, 18.8, 19.4, 28.8, 30.8, 27.6, 26.5, 49.8, 49.7, 30.6, 34.1, 69.9, -13.5
337, Presbyterian, BSth, 30, 5, 94.1, 109.8, .1440, 47.3, 54, 20.8, 18.4, 29.9, 29.5, 36.5, 39.1, 47.3, 52, 31.5, 38.5, 64.5, -22.3
338, Holy Cross, Pat, 30, 10, 94.6, 110.5, .1434, 48.5, 51.8, 17.5, 17.4, 21.5, 30.1, 25.5, 27.8, 46.5, 53.9, 35.3, 31.9, 69, -18
339, Central Michigan, MAC, 29, 10, 93.0, 108.7, .1418, 46.5, 51.9, 22.9, 19.2, 30.5, 32.5, 36.9, 41, 47.4, 50.9, 30, 35.6, 67.3, -15.1
340, Columbia, Ivy, 27, 7, 94.8, 111.1, .1389, 45.5, 52, 19.9, 17.6, 25.3, 30.9, 28.1, 28.8, 45.4, 53.2, 30.4, 33.1, 69.7, -16.5
341, Lindenwood, OVC, 29, 11, 96.2, 112.8, .1376, 48.8, 52.4, 19.5, 17.8, 23, 31, 28.3, 31.1, 45.7, 52, 36.2, 35.2, 67.1, -16.3
342, South Carolina St., MEAC, 30, 5, 98.5, 115.5, .1375, 46.9, 57.7, 20.9, 21, 34.2, 34.5, 29.2, 43.5, 47.3, 56.8, 30.8, 39.5, 71.8, -19.8
343, Coppin St., MEAC, 31, 9, 98.6, 116.1, .1318, 51.4, 53.3, 20.1, 18.5, 18.6, 35.7, 37.2, 34.1, 51.7, 54.8, 33.9, 34.1, 72, -15.4
344, Central Connecticut, NEC, 32, 10, 97.0, 114.4, .1302, 48.1, 51.3, 17.9, 16.4, 28.5, 28.2, 23.3, 26.5, 47.5, 50.2, 32.7, 35.4, 64.4, -18.4
345, Bethune Cookman, SWAC, 30, 12, 97.3, 115.0, .1271, 46.6, 52.7, 18.3, 19.3, 26.9, 34.7, 32.1, 35.2, 43.1, 52.1, 35.8, 35.8, 68.7, -15.6
346, Albany, AE, 29, 8, 98.2, 116.4, .1233, 47.3, 55.3, 19.2, 16.6, 27.8, 26.7, 31, 36.8, 46.6, 56.5, 32.2, 35.3, 67.4, -17.4
347, Houston Christian, Slnd, 29, 10, 101.6, 120.5, .1232, 51.4, 57.5, 21.1, 16.7, 28, 31.6, 40.6, 33.3, 49.5, 57.9, 36.1, 37.8, 70.6, -17.7
348, Hampton, CAA, 31, 8, 97.7, 116.1, .1201, 45.1, 53.9, 16, 15.7, 26.5, 30.3, 32.1, 35.3, 43.4, 52.2, 32.1, 37.9, 68.8, -18.4
349, Eastern Illinois, OVC, 29, 9, 94.0, 111.9, .1195, 48, 52.2, 19.2, 19.7, 25.3, 32.2, 32.4, 32.5, 47.7, 52.4, 32.6, 34.6, 68, -17.8
350, Evansville, MVC, 32, 5, 91.8, 109.4, .1180, 45.1, 55.8, 17.6, 18.9, 20.7, 25.5, 29.4, 30.1, 43.4, 54.8, 32.2, 38.1, 69.6, -20
351, Monmouth, CAA, 33, 7, 92.2, 110.0, .1157, 43.8, 54.4, 21.1, 21, 30.3, 32.9, 33.1, 38.8, 44, 53.4, 28.8, 37, 68.3, -18.9
352, Alabama St., SWAC, 30, 8, 92.7, 111.1, .1109, 42.3, 49.7, 18.7, 17.7, 31.7, 34.4, 31.2, 34.6, 40.4, 48.9, 30.8, 34.2, 66.4, -17
353, VMI, SC, 29, 7, 97.9, 117.9, .1054, 47.8, 56.9, 19.3, 14.6, 28.9, 27.3, 21, 28.1, 45, 57.7, 34.2, 37.4, 66.8, -19.8
354, Lamar, Slnd, 28, 9, 95.2, 114.9, .1038, 47.6, 53, 21.2, 17.1, 31.9, 33.5, 32.2, 30.8, 47.5, 54.5, 31.9, 34.1, 65.8, -18.3
355, Florida A&M, SWAC, 27, 7, 90.4, 109.3, .1019, 45, 51.1, 24, 18, 27.6, 33.6, 31.4, 44.6, 43.2, 51.8, 32.1, 33.2, 65, -16.2
356, Mississippi Valley St., SWAC, 32, 5, 93.0, 112.5, .1013, 45.4, 53.3, 23.4, 19.5, 28.7, 32.4, 38, 39.8, 42.8, 53, 34.9, 35.8, 67.1, -20
357, St. Francis NY, NEC, 28, 14, 91.4, 110.7, .0992, 45.9, 50.5, 21.1, 19.6, 30.9, 31.8, 31.1, 31.6, 41.6, 47.1, 36.5, 39.7, 65.8, -13.1
358, Delaware St., MEAC, 27, 6, 91.9, 111.8, .0959, 45.7, 54.4, 23.5, 19, 30.1, 29.4, 29.3, 37, 45.1, 50.6, 31.4, 39.5, 67.6, -17.5
359, IUPUI, Horz, 30, 5, 96.6, 118.8, .0853, 49.7, 55, 23.2, 16.7, 29, 31.9, 32.2, 36, 51.7, 54.6, 29.8, 37.2, 67.1, -22.2
360, Green Bay, Horz, 32, 3, 91.6, 115.4, .0662, 46, 54.8, 21.1, 16.1, 21.7, 32.4, 31.5, 31.6, 46.6, 56.1, 30.1, 35, 65.2, -22.9
361, Hartford, ind, 25, 5, 90.9, 118.8, .0441, 47.7, 55.4, 22.7, 17.6, 25.2, 33.5, 24.1, 27.7, 47.4, 53.8, 32, 38.7, 65.5, -19.9
362, LIU Brooklyn, NEC, 27, 3, 87.3, 117.6, .0315, 45.6, 55.1, 22.7, 16.7, 24.7, 30.3, 31.7, 32.1, 44.8, 54.6, 32, 37.4, 72.5, -21.4
